Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
40,0,35000,1,29392.7514,0.490875979,1.67E-05
21,0,35000,1,941.2525316,0.080764573,8.58E-05
50,0,40000,0,32330.60034,0.303624664,9.39E-06
45,0,40000,0,32330.60034,0.303624664,9.39E-06
40,0,40000,0,30569.31714,0.276018865,9.03E-06
21,0,40000,0,12464.46617,0.102342894,8.21E-06
50,0,40000,0.1,30416.00699,0.313193918,1.03E-05
45,0,40000,0.1,30416.00699,0.313193918,1.03E-05
40,0,40000,0.1,29093.26192,0.291742082,1.00E-05
21,0,40000,0.1,10988.41095,0.101603066,9.25E-06
50,0,40000,0.2,28501.41364,0.315660012,1.11E-05
45,0,40000,0.2,28501.41364,0.315660012,1.11E-05
40,0,40000,0.2,27210.75671,0.294431234,1.08E-05
21,0,40000,0.2,9512.355731,0.100863238,1.06E-05
50,0,40000,0.3,27089.53484,0.321825246,1.19E-05
45,0,40000,0.3,27089.53484,0.321825246,1.19E-05
40,0,40000,0.3,25795.3125,0.300020041,1.16E-05
21,0,40000,0.3,8225.264071,0.099876801,1.21E-05
50,0,40000,0.4,26080.54062,0.330456575,1.27E-05
45,0,40000,0.4,26080.54062,0.330456575,1.27E-05
40,0,40000,0.4,24782.75287,0.308153702,1.24E-05
21,0,40000,0.4,7127.136117,0.098397144,1.38E-05
50,0,40000,0.5,25463.73488,0.34032095,1.34E-05
45,0,40000,0.5,25463.73488,0.34032095,1.34E-05
40,0,40000,0.5,24162.38186,0.318259081,1.32E-05
21,0,40000,0.5,6168.05681,0.096670879,1.57E-05
50,0,40000,0.6,25203.46422,0.35635056,1.41E-05
45,0,40000,0.6,25203.46422,0.35635056,1.41E-05
40,0,40000,0.6,23791.58542,0.33187724,1.39E-05
21,0,40000,0.6,5287.41514,0.094698003,1.79E-05
50,0,40000,0.7,25210.59505,0.373613217,1.48E-05
45,0,40000,0.7,25210.59505,0.373613217,1.48E-05
40,0,40000,0.7,23663.23272,0.346742559,1.47E-05
21,0,40000,0.7,4438.861608,0.0919853,2.07E-05
50,0,40000,0.8,25349.64369,0.390875874,1.54E-05
45,0,40000,0.8,25349.64369,0.390875874,1.54E-05
40,0,40000,0.8,23577.6644,0.359415835,1.52E-05
21,0,40000,0.8,3693.703317,0.091122167,2.47E-05
50,0,40000,0.9,25642.00235,0.411837671,1.61E-05
45,0,40000,0.9,25642.00235,0.411837671,1.61E-05
40,0,40000,0.9,23488.53053,0.374547863,1.59E-05
21,0,40000,0.9,2916.456888,0.087423027,3.00E-05
50,0,40000,1,25691.91726,0.431566422,1.68E-05
45,0,40000,1,25691.91726,0.431566422,1.68E-05
40,0,40000,1,23288.87087,0.39001274,1.67E-05
21,0,40000,1,2196.256054,0.083723886,3.81E-05
50,0,45000,0,23620.44849,0.229754646,9.73E-06
45,0,45000,0,23620.44849,0.229754646,9.73E-06
40,0,45000,0,22622.15022,0.211442462,9.35E-06
21,0,45000,0,12899.43903,0.108631434,8.42E-06
50,0,45000,0.1,22818.24461,0.238798538,1.05E-05
45,0,45000,0.1,22818.24461,0.238798538,1.05E-05
40,0,45000,0.1,21812.81565,0.219754234,1.01E-05
21,0,45000,0.1,11787.04957,0.107521691,9.12E-06
50,0,45000,0.2,22016.04072,0.246882878,1.12E-05
45,0,45000,0.2,22016.04072,0.246882878,1.12E-05
40,0,45000,0.2,21003.48108,0.228478475,1.09E-05
21,0,45000,0.2,10674.66011,0.106411949,9.97E-06
50,0,45000,0.3,21213.83683,0.254007666,1.20E-05
45,0,45000,0.3,21213.83683,0.254007666,1.20E-05
40,0,45000,0.3,20194.14652,0.236819613,1.17E-05
21,0,45000,0.3,9562.270644,0.105302207,1.10E-05
50,0,45000,0.4,20411.63295,0.2601729,1.27E-05
45,0,45000,0.4,20411.63295,0.2601729,1.27E-05
40,0,45000,0.4,19384.81195,0.242789526,1.25E-05
21,0,45000,0.4,8449.881182,0.104192465,1.23E-05
50,0,45000,0.5,19919.61449,0.270037275,1.36E-05
45,0,45000,0.5,19919.61449,0.270037275,1.36E-05
40,0,45000,0.5,18896.35891,0.252295531,1.34E-05
21,0,45000,0.5,7594.197116,0.107644996,1.42E-05
50,0,45000,0.6,19698.5628,0.282367745,1.43E-05
45,0,45000,0.6,19698.5628,0.282367745,1.43E-05
40,0,45000,0.6,18575.47724,0.262332126,1.41E-05
21,0,45000,0.6,6660.075118,0.105055598,1.58E-05
50,0,45000,0.7,19694.99738,0.294698214,1.50E-05
45,0,45000,0.7,19694.99738,0.294698214,1.50E-05
40,0,45000,0.7,18457.82064,0.273014441,1.48E-05
21,0,45000,0.7,5804.391052,0.102342894,1.76E-05
50,0,45000,0.8,19773.43517,0.30826173,1.56E-05
45,0,45000,0.8,19773.43517,0.30826173,1.56E-05
40,0,45000,0.8,18315.20672,0.283250558,1.55E-05
21,0,45000,0.8,5005.752434,0.099630191,1.99E-05
50,0,45000,0.9,19958.83331,0.323058293,1.62E-05
45,0,45000,0.9,19958.83331,0.323058293,1.62E-05
40,0,45000,0.9,18172.59266,0.293273605,1.61E-05
21,0,45000,0.9,4239.201953,0.096300964,2.27E-05
50,0,45000,1,19905.35313,0.336621809,1.69E-05
45,0,45000,1,19905.35313,0.336621809,1.69E-05
40,0,45000,1,17962.23691,0.304707328,1.70E-05
21,0,45000,1,3590.308222,0.095067918,2.65E-05
55,5,0,0,146785.4893,1.326272563,9.04E-06
50,5,0,0,123011.7307,1.072931736,8.72E-06
45,5,0,0,113390.6318,0.970415366,8.56E-06
40,5,0,0,102874.6298,0.870350954,8.46E-06
