ID,SLST,BPR,OPR,FPR,SFC,T_EoR,T_ToC,T_MdC,Category
328,38846.5891,5.036622526,28.94017891,1.662390701,0.628,30151,6746,5196,0
329,38857.65299,5.038156824,28.93976915,1.652356003,0.628,30153,6746,5201,0
330,38842.63235,5.037982512,28.90220732,1.662636343,0.628,30150,6746,5197,0
331,38856.80819,5.038163298,28.91803397,1.667450764,0.627,30162,6746,5195,0
332,38856.80819,5.038156824,28.93976915,1.664353513,0.627,30159,6746,5196,0
333,38909.81957,5.037248779,29.04011996,1.667726992,0.627,30196,6747,5196,0
334,38790.59729,5.013520928,28.17639771,1.613954658,0.634,30129,6748,5198,0
335,38790.59729,5.072131149,28.29130673,1.654787919,0.628,30117,6748,5195,0
336,38790.59729,5.072131149,28.29130673,1.654787919,0.628,30117,6748,5195,0
337,38937.92107,5.036622526,29.14085772,1.662390701,0.627,30210,6748,5198,0
338,38790.59729,5.072131149,28.28204109,1.654787919,0.628,30118,6749,5196,0
339,38868.75699,5.036620361,28.9285264,1.667594498,0.627,30172,6749,5198,0
340,38890.89122,5.036762463,28.9731702,1.667439273,0.627,30186,6749,5198,0
341,38889.91578,5.038120688,28.96583327,1.667100828,0.627,30184,6749,5197,0
342,38864.41115,5.036819822,28.932585,1.663508212,0.627,30166,6749,5199,0
343,38888.0327,5.038156824,28.93976915,1.667318065,0.627,30185,6750,5198,0
344,38795.88415,5.069637962,28.29130673,1.660123368,0.628,30126,6751,5196,0
345,38856.80819,5.038106756,28.87455805,1.662445955,0.628,30162,6751,5200,0
346,38832.5144,5.038156824,28.78982892,1.667318065,0.627,30151,6751,5199,0
